weights_str,w0,w1,w2,reg_pa,mae_AVG,mae_OBP,mae_SLG,mae_OPS
8/4/3,8,4,3,2000,0.02202,0.02453,0.04227,0.06142
7/3/3,7,3,3,2000,0.02187,0.0245,0.04241,0.06142
7/5/1,7,5,1,2000,0.02225,0.02489,0.04209,0.06143
8/5/1,8,5,1,2000,0.0224,0.02496,0.04211,0.06145
4/3/1,4,3,1,1200,0.02211,0.02477,0.04202,0.06146
5/3/1,5,3,1,1500,0.02222,0.02489,0.04216,0.06149
5/4/1,5,4,1,1500,0.02217,0.02483,0.04204,0.0615
5/2/2,5,2,2,1500,0.02189,0.02454,0.04256,0.06152
4/3/1,4,3,1,1000,0.02223,0.02479,0.042,0.06153
3/1/1,3,1,1,800,0.02214,0.02465,0.04251,0.06153
8/3/3,8,3,3,2000,0.02205,0.02453,0.04246,0.06154
5/3/2,5,3,2,1500,0.02194,0.02461,0.04225,0.06155
5/2/2,5,2,2,1200,0.02201,0.02451,0.04249,0.06155
5/3/1,5,3,1,1200,0.02238,0.02491,0.04213,0.06156
7/3/3,7,3,3,1500,0.02206,0.02449,0.04238,0.06156
6/2/2,6,2,2,1500,0.02218,0.02465,0.04251,0.06158
3/2/1,3,2,1,800,0.02213,0.0247,0.04214,0.06158
6/5/1,6,5,1,2000,0.02217,0.02489,0.04216,0.06158
8/5/3,8,5,3,2000,0.02208,0.02463,0.0422,0.06159
6/4/1,6,4,1,1500,0.02238,0.02492,0.04215,0.0616
4/3/1,4,3,1,1500,0.02201,0.02484,0.0422,0.0616
5/3/2,5,3,2,1200,0.02207,0.02461,0.04223,0.06161
6/3/2,6,3,2,1500,0.02224,0.02472,0.04229,0.06162
6/4/2,6,4,2,1500,0.02217,0.02471,0.04214,0.06163
7/3/2,7,3,2,2000,0.02222,0.02477,0.04246,0.06163
6/4/1,6,4,1,2000,0.0222,0.02492,0.04227,0.06163
5/4/1,5,4,1,1200,0.02233,0.02485,0.04203,0.06163
7/5/2,7,5,2,2000,0.02215,0.02476,0.04218,0.06163
7/4/1,7,4,1,2000,0.02232,0.02498,0.04234,0.06164
7/4/3,7,4,3,2000,0.02193,0.02462,0.04233,0.06165
7/4/2,7,4,2,2000,0.02219,0.02482,0.04226,0.06165
3/2/1,3,2,1,1000,0.02201,0.02473,0.04224,0.06165
6/4/2,6,4,2,2000,0.02201,0.02473,0.04224,0.06165
6/5/1,6,5,1,1500,0.02236,0.0249,0.04207,0.06165
6/3/2,6,3,2,2000,0.02209,0.02478,0.04241,0.06165
3/1/1,3,1,1,1000,0.02205,0.02474,0.04267,0.06166
7/5/1,7,5,1,1500,0.02246,0.02494,0.04211,0.06166
6/2/2,6,2,2,2000,0.02205,0.02474,0.04267,0.06166
5/4/1,5,4,1,2000,0.02206,0.02491,0.0423,0.06166
5/2/2,5,2,2,1000,0.02214,0.02452,0.04252,0.06167
4/2/1,4,2,1,1200,0.02222,0.02487,0.04239,0.06168
8/3/4,8,3,4,2000,0.02193,0.02452,0.04258,0.06168
7/2/3,7,2,3,2000,0.02199,0.02458,0.04275,0.06169
7/3/1,7,3,1,2000,0.02237,0.02496,0.04264,0.0617
8/4/3,8,4,3,1500,0.02225,0.02459,0.04236,0.0617
4/2/2,4,2,2,1200,0.02188,0.0246,0.04247,0.06171
4/2/1,4,2,1,1000,0.02234,0.02486,0.04234,0.06172
8/4/2,8,4,2,2000,0.02234,0.02486,0.04234,0.06172
6/3/3,6,3,3,1500,0.02199,0.0246,0.0424,0.06172
4/2/2,4,2,2,1000,0.02199,0.0246,0.0424,0.06172
8/5/2,8,5,2,2000,0.02234,0.02487,0.04225,0.06172
8/4/4,8,4,4,2000,0.02199,0.0246,0.0424,0.06172
8/4/1,8,4,1,2000,0.02247,0.02504,0.04241,0.06173
6/2/3,6,2,3,1500,0.02194,0.02453,0.04265,0.06173
8/2/3,8,2,3,2000,0.02213,0.02459,0.04275,0.06173
7/2/1,7,2,1,2000,0.02251,0.02505,0.04293,0.06174
4/3/1,4,3,1,800,0.0224,0.02484,0.04211,0.06175
5/3/1,5,3,1,2000,0.02213,0.02502,0.04248,0.06176
7/4/4,7,4,4,2000,0.0219,0.02461,0.04239,0.06176
7/3/3,7,3,3,1200,0.02223,0.02454,0.04248,0.06176
6/2/2,6,2,2,1200,0.02235,0.02467,0.04257,0.06178
5/5/1,5,5,1,1500,0.02228,0.02489,0.04207,0.06178
8/5/4,8,5,4,2000,0.02196,0.02462,0.04229,0.06178
8/3/3,8,3,3,1500,0.02227,0.02458,0.04253,0.06178
5/3/1,5,3,1,1000,0.02252,0.02495,0.0422,0.06178
5/3/2,5,3,2,1000,0.02221,0.02464,0.0423,0.06178
3/1/1,3,1,1,600,0.02235,0.02467,0.04257,0.06178
8/5/1,8,5,1,1500,0.02263,0.02505,0.04225,0.06179
6/3/3,6,3,3,2000,0.02184,0.02463,0.04256,0.0618
7/4/3,7,4,3,1500,0.02212,0.02463,0.04234,0.0618
5/3/2,5,3,2,2000,0.02187,0.02474,0.04253,0.06181
5/3/3,5,3,3,1500,0.02183,0.02458,0.04242,0.06181
8/3/1,8,3,1,2000,0.02258,0.02504,0.04272,0.06182
5/4/1,5,4,1,1000,0.02248,0.0249,0.04214,0.06182
7/4/2,7,4,2,1500,0.02239,0.02484,0.04228,0.06182
5/1/2,5,1,2,1500,0.02203,0.02467,0.04294,0.06182
5/2/1,5,2,1,1500,0.02232,0.02493,0.04271,0.06182
6/3/1,6,3,1,1500,0.02246,0.02501,0.04244,0.06183
6/4/3,6,4,3,1500,0.02193,0.02457,0.04229,0.06183
7/5/2,7,5,2,1500,0.02235,0.0248,0.04221,0.06183
3/2/1,3,2,1,1200,0.02197,0.02483,0.04245,0.06183
7/3/2,7,3,2,1500,0.02242,0.02477,0.04247,0.06183
6/3/1,6,3,1,2000,0.02228,0.02503,0.04259,0.06184
6/4/2,6,4,2,1200,0.02233,0.02474,0.04224,0.06184
6/4/3,6,4,3,2000,0.02177,0.02458,0.04237,0.06184
6/2/1,6,2,1,1500,0.02255,0.02497,0.04277,0.06184
7/4/1,7,4,1,1500,0.02253,0.02503,0.04236,0.06184
5/5/1,5,5,1,2000,0.02213,0.02493,0.04228,0.06184
3/2/1,3,2,1,600,0.02233,0.02474,0.04224,0.06184
6/3/2,6,3,2,1200,0.02242,0.02476,0.04237,0.06184
6/2/3,6,2,3,2000,0.02182,0.0246,0.04281,0.06186
7/2/3,7,2,3,1500,0.02216,0.02457,0.04275,0.06186
6/4/1,6,4,1,1200,0.02256,0.02497,0.04224,0.06187
6/2/3,6,2,3,1200,0.0221,0.02456,0.04269,0.06188
8/5/3,8,5,3,1500,0.02229,0.02468,0.04233,0.06188
