weights_str,w0,w1,w2,reg_pa,mae_AVG,mae_OBP,mae_SLG,mae_OPS
8/5/1,8,5,1,2000,0.02219,0.02455,0.04123,0.06025
7/5/1,7,5,1,2000,0.02205,0.02447,0.04126,0.06028
4/3/1,4,3,1,1200,0.02193,0.02436,0.04129,0.06039
5/4/1,5,4,1,1500,0.02198,0.0244,0.04128,0.06039
7/5/1,7,5,1,1500,0.02226,0.02451,0.04125,0.06041
4/3/1,4,3,1,1000,0.02205,0.02437,0.04124,0.06041
5/3/1,5,3,1,1200,0.02221,0.02452,0.04131,0.06043
5/3/1,5,3,1,1500,0.02205,0.0245,0.04139,0.06044
6/4/1,6,4,1,1500,0.0222,0.02451,0.04133,0.06045
5/4/1,5,4,1,1200,0.02214,0.02442,0.04124,0.06045
8/4/3,8,4,3,2000,0.02187,0.02415,0.04158,0.06046
6/5/1,6,5,1,1500,0.02217,0.02446,0.04126,0.06046
6/5/1,6,5,1,2000,0.02197,0.02446,0.04141,0.06049
8/5/1,8,5,1,1500,0.02243,0.02463,0.04135,0.0605
7/3/3,7,3,3,2000,0.02172,0.0242,0.04172,0.06051
7/4/1,7,4,1,2000,0.02213,0.02459,0.04153,0.06055
3/1/1,3,1,1,800,0.02199,0.02435,0.04174,0.06056
4/3/1,4,3,1,800,0.02223,0.02441,0.04134,0.06056
3/2/1,3,2,1,800,0.02197,0.02431,0.04145,0.06058
8/3/3,8,3,3,2000,0.0219,0.02423,0.04171,0.06058
7/3/3,7,3,3,1500,0.02193,0.0242,0.04164,0.06058
6/4/1,6,4,1,2000,0.02201,0.02451,0.04152,0.06059
5/4/1,5,4,1,1000,0.02229,0.02445,0.04133,0.06059
8/4/1,8,4,1,2000,0.02228,0.02466,0.04154,0.0606
6/2/2,6,2,2,1500,0.02204,0.02435,0.04172,0.0606
5/2/2,5,2,2,1200,0.02187,0.02421,0.04176,0.0606
6/4/2,6,4,2,1500,0.02202,0.02432,0.04145,0.06061
7/3/1,7,3,1,2000,0.02218,0.02464,0.04178,0.06061
5/3/1,5,3,1,1000,0.02235,0.02456,0.04138,0.06061
8/5/3,8,5,3,2000,0.02193,0.02424,0.04154,0.06061
5/2/2,5,2,2,1500,0.02172,0.02423,0.04189,0.06062
7/5/2,7,5,2,2000,0.02199,0.02436,0.04148,0.06062
4/3/1,4,3,1,1500,0.02182,0.02442,0.04154,0.06062
7/2/1,7,2,1,2000,0.02232,0.02472,0.04204,0.06063
6/5/1,6,5,1,1200,0.02235,0.02451,0.04136,0.06063
5/3/2,5,3,2,1200,0.02193,0.02422,0.04156,0.06064
8/2/3,8,2,3,2000,0.02197,0.02426,0.04191,0.06064
7/5/1,7,5,1,1200,0.02246,0.02456,0.04142,0.06064
5/3/2,5,3,2,1500,0.02179,0.02423,0.04162,0.06064
6/3/2,6,3,2,1500,0.02212,0.02436,0.04158,0.06065
5/5/1,5,5,1,1500,0.02209,0.02444,0.04132,0.06065
6/4/1,6,4,1,1200,0.02238,0.02456,0.04141,0.06065
7/3/2,7,3,2,2000,0.02207,0.02447,0.0417,0.06065
7/4/1,7,4,1,1500,0.02235,0.02464,0.04151,0.06066
8/4/3,8,4,3,1500,0.0221,0.0242,0.04164,0.06066
8/5/2,8,5,2,2000,0.02218,0.02449,0.04151,0.06067
5/4/1,5,4,1,2000,0.02185,0.02449,0.04162,0.06067
5/2/2,5,2,2,1000,0.02201,0.02423,0.04176,0.06067
7/4/2,7,4,2,2000,0.02205,0.02445,0.04156,0.06068
7/2/3,7,2,3,2000,0.02182,0.02425,0.04198,0.06069
8/3/1,8,3,1,2000,0.02241,0.02474,0.04179,0.06069
8/3/4,8,3,4,2000,0.02178,0.02421,0.04182,0.0607
8/4/2,8,4,2,2000,0.02219,0.0245,0.04158,0.06071
4/2/1,4,2,1,1000,0.02219,0.0245,0.04158,0.06071
6/4/2,6,4,2,2000,0.02185,0.02434,0.0416,0.06072
6/2/2,6,2,2,2000,0.02187,0.02442,0.04195,0.06072
3/2/1,3,2,1,1000,0.02185,0.02434,0.0416,0.06072
4/2/1,4,2,1,1200,0.02207,0.0245,0.04167,0.06072
7/3/1,7,3,1,1500,0.0224,0.02468,0.04173,0.06072
3/1/1,3,1,1,1000,0.02187,0.02442,0.04195,0.06072
7/5/2,7,5,2,1500,0.02219,0.02439,0.04149,0.06073
7/3/3,7,3,3,1200,0.0221,0.02426,0.04171,0.06074
3/1/1,3,1,1,600,0.02222,0.02439,0.04175,0.06074
6/2/2,6,2,2,1200,0.02222,0.02439,0.04175,0.06074
5/5/1,5,5,1,1200,0.02227,0.02446,0.04134,0.06075
6/2/3,6,2,3,1500,0.0218,0.02423,0.04189,0.06075
5/1/2,5,1,2,1500,0.02185,0.02432,0.04214,0.06075
8/3/3,8,3,3,1500,0.02214,0.02429,0.04174,0.06076
6/3/1,6,3,1,1500,0.0223,0.02464,0.04162,0.06076
3/2/1,3,2,1,600,0.02218,0.02434,0.04153,0.06076
6/4/2,6,4,2,1200,0.02218,0.02434,0.04153,0.06076
5/3/2,5,3,2,1000,0.02207,0.02425,0.04162,0.06077
6/2/1,6,2,1,1500,0.0224,0.02467,0.04188,0.06077
6/3/2,6,3,2,2000,0.02194,0.02441,0.04176,0.06077
7/4/2,7,4,2,1500,0.02224,0.02446,0.04154,0.06077
7/4/3,7,4,3,2000,0.02179,0.02425,0.04172,0.06077
7/2/3,7,2,3,1500,0.02202,0.02427,0.04192,0.06079
8/5/1,8,5,1,1200,0.02265,0.02471,0.04155,0.06079
8/2/1,8,2,1,2000,0.02251,0.0248,0.04214,0.06079
7/3/2,7,3,2,1500,0.02229,0.02448,0.04165,0.0608
8/4/1,8,4,1,1500,0.02252,0.02474,0.04166,0.06081
5/2/1,5,2,1,1500,0.02215,0.02462,0.04192,0.06081
5/1/2,5,1,2,1200,0.02201,0.02431,0.04206,0.06081
5/3/1,5,3,1,2000,0.02193,0.02463,0.04179,0.06082
5/5/1,5,5,1,2000,0.02193,0.0245,0.04161,0.06082
8/5/3,8,5,3,1500,0.02215,0.02428,0.04164,0.06082
