weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
4/5/2,4,5,2,800,0.68171,0.13065
3/4/1,3,4,1,800,0.68172,0.131
3/4/1,3,4,1,600,0.68228,0.13068
3/4/2,3,4,2,800,0.68304,0.13124
3/3/2,3,3,2,800,0.68312,0.13129
3/3/2,3,3,2,600,0.68318,0.13095
3/4/2,3,4,2,600,0.68369,0.1309
4/4/3,4,4,3,800,0.68417,0.13121
5/5/3,5,5,3,800,0.68434,0.13084
4/4/2,4,4,2,800,0.6844,0.1317
4/5/3,4,5,3,800,0.68442,0.13103
3/3/1,3,3,1,600,0.68443,0.13175
4/4/1,4,4,1,800,0.68458,0.13184
4/5/2,4,5,2,600,0.68463,0.13074
3/4/3,3,4,3,800,0.68495,0.13115
3/3/1,3,3,1,800,0.68496,0.13216
4/3/1,4,3,1,800,0.68581,0.13223
5/5/2,5,5,2,800,0.68586,0.13168
3/5/2,3,5,2,800,0.68622,0.13133
4/4/3,4,4,3,600,0.68644,0.13119
5/5/1,5,5,1,800,0.68669,0.13196
3/4/3,3,4,3,600,0.68671,0.13096
3/3/3,3,3,3,800,0.68672,0.1316
4/4/2,4,4,2,600,0.68675,0.13169
5/4/2,5,4,2,800,0.6868,0.13195
5/4/1,5,4,1,800,0.68683,0.13216
4/3/3,4,3,3,800,0.68688,0.13124
3/4/1,3,4,1,400,0.68696,0.13103
4/5/4,4,5,4,800,0.68698,0.13104
3/3/2,3,3,2,400,0.68703,0.13106
4/3/2,4,3,2,800,0.68706,0.13188
4/4/1,4,4,1,600,0.68712,0.13192
4/5/3,4,5,3,600,0.68724,0.13101
4/5/1,4,5,1,800,0.68726,0.13208
5/4/4,5,4,4,800,0.68736,0.13143
3/5/3,3,5,3,800,0.6874,0.13121
5/5/4,5,5,4,800,0.68745,0.13131
5/4/3,5,4,3,800,0.68761,0.13197
4/3/1,4,3,1,600,0.68761,0.1322
3/4/4,3,4,4,800,0.68769,0.13144
3/5/2,3,5,2,600,0.68776,0.13113
3/2/1,3,2,1,600,0.68778,0.13209
6/5/4,6,5,4,800,0.68788,0.13127
3/3/3,3,3,3,600,0.68795,0.13137
4/4/4,4,4,4,800,0.68795,0.13137
3/5/1,3,5,1,800,0.6882,0.1318
5/5/3,5,5,3,600,0.68823,0.13121
4/3/3,4,3,3,600,0.68849,0.13117
3/3/1,3,3,1,400,0.68852,0.13196
6/5/2,6,5,2,800,0.68859,0.13208
4/3/2,4,3,2,600,0.68872,0.13177
3/4/2,3,4,2,400,0.68875,0.13104
