weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
3/4/1,3,4,1,800,0.66833,0.12728
4/5/2,4,5,2,800,0.66859,0.12696
3/4/1,3,4,1,600,0.66906,0.12705
3/4/2,3,4,2,800,0.67024,0.12727
3/3/2,3,3,2,600,0.67054,0.12721
3/4/2,3,4,2,600,0.67057,0.12705
3/3/2,3,3,2,800,0.67079,0.12752
4/4/3,4,4,3,800,0.6714,0.12729
5/5/3,5,5,3,800,0.67149,0.12717
4/5/2,4,5,2,600,0.6715,0.12713
4/5/3,4,5,3,800,0.67153,0.12716
3/3/1,3,3,1,600,0.67179,0.12819
4/4/1,4,4,1,800,0.67182,0.12829
4/4/2,4,4,2,800,0.67187,0.12813
3/3/1,3,3,1,800,0.67232,0.12855
3/4/3,3,4,3,800,0.67256,0.12707
5/5/2,5,5,2,800,0.67312,0.12814
4/3/1,4,3,1,800,0.67337,0.12864
4/4/3,4,4,3,600,0.67352,0.12742
3/5/2,3,5,2,800,0.67364,0.12747
3/4/1,3,4,1,400,0.67378,0.12751
5/5/1,5,5,1,800,0.67391,0.12844
4/4/2,4,4,2,600,0.67412,0.12817
5/4/1,5,4,1,800,0.67416,0.12858
3/4/3,3,4,3,600,0.67427,0.12701
4/5/3,4,5,3,600,0.67428,0.12729
3/3/2,3,3,2,400,0.67431,0.12746
5/4/2,5,4,2,800,0.67432,0.12838
4/4/1,4,4,1,600,0.67433,0.12841
4/5/4,4,5,4,800,0.67464,0.12708
4/3/3,4,3,3,800,0.67473,0.12739
4/5/1,4,5,1,800,0.67474,0.12865
3/3/3,3,3,3,800,0.67475,0.12751
5/5/4,5,5,4,800,0.67486,0.12751
4/3/2,4,3,2,800,0.67501,0.12827
4/3/1,4,3,1,600,0.67502,0.12862
3/5/2,3,5,2,600,0.67507,0.12739
5/4/4,5,4,4,800,0.6751,0.12769
3/5/1,3,5,1,800,0.67526,0.12804
3/5/3,3,5,3,800,0.67527,0.12727
5/5/3,5,5,3,600,0.67536,0.12763
6/5/4,6,5,4,800,0.67538,0.12764
5/4/3,5,4,3,800,0.67542,0.12844
3/4/2,3,4,2,400,0.67563,0.12742
3/2/1,3,2,1,600,0.67563,0.12846
3/3/1,3,3,1,400,0.67579,0.12847
4/4/4,4,4,4,800,0.6759,0.1274
3/3/3,3,3,3,600,0.6759,0.1274
6/5/2,6,5,2,800,0.67596,0.12855
3/4/4,3,4,4,800,0.67603,0.12741
4/3/3,4,3,3,600,0.67626,0.12739
6/5/3,6,5,3,800,0.67644,0.12849
4/3/2,4,3,2,600,0.67654,0.12817
6/5/1,6,5,1,800,0.67668,0.12891
3/5/1,3,5,1,600,0.67673,0.128
3/2/1,3,2,1,800,0.6771,0.12886
5/5/2,5,5,2,600,0.67738,0.12868
3/5/3,3,5,3,600,0.6774,0.12726
4/5/1,4,5,1,600,0.67772,0.12888
5/4/2,5,4,2,600,0.67772,0.12875
4/5/4,4,5,4,600,0.67797,0.12723
3/2/1,3,2,1,400,0.67811,0.12848
6/4/2,6,4,2,800,0.67811,0.12848
4/5/2,4,5,2,400,0.67811,0.12819
5/5/1,5,5,1,600,0.67813,0.12895
5/3/1,5,3,1,800,0.67826,0.12874
5/4/1,5,4,1,600,0.67831,0.12905
3/5/4,3,5,4,800,0.67831,0.12755
3/4/4,3,4,4,600,0.6784,0.12751
3/4/1,3,4,1,300,0.67841,0.12841
5/3/2,5,3,2,800,0.67846,0.12851
6/4/1,6,4,1,800,0.67853,0.12883
6/4/3,6,4,3,800,0.67867,0.12841
5/4/4,5,4,4,600,0.67868,0.12803
5/4/3,5,4,3,600,0.67875,0.12881
3/2/2,3,2,2,600,0.67875,0.12882
3/3/2,3,3,2,300,0.67879,0.12823
5/5/4,5,5,4,600,0.67884,0.12787
4/4/4,4,4,4,600,0.67892,0.12754
3/3/4,3,3,4,800,0.67944,0.128
3/4/3,3,4,3,400,0.67953,0.12739
6/5/4,6,5,4,600,0.67954,0.12834
3/2/2,3,2,2,800,0.6796,0.12912
3/2/3,3,2,3,800,0.67966,0.12833
4/4/3,4,4,3,400,0.67967,0.12828
7/5/3,7,5,3,800,0.67977,0.1286
7/5/2,7,5,2,800,0.67978,0.12873
3/2/3,3,2,3,600,0.68002,0.12815
4/3/4,4,3,4,800,0.68015,0.12811
7/5/4,7,5,4,800,0.68044,0.12868
3/4/2,3,4,2,300,0.68044,0.12817
3/5/2,3,5,2,400,0.68047,0.12783
4/4/2,4,4,2,400,0.68047,0.12922
5/3/4,5,3,4,800,0.68056,0.12801
3/3/1,3,3,1,300,0.6807,0.12937
3/3/3,3,3,3,400,0.6807,0.12769
4/2/1,4,2,1,800,0.6808,0.12934
6/5/3,6,5,3,600,0.68086,0.12929
6/5/2,6,5,2,600,0.6809,0.12939
4/5/3,4,5,3,400,0.6809,0.12822
3/5/4,3,5,4,600,0.68092,0.12771
5/3/3,5,3,3,800,0.681,0.12882
4/4/1,4,4,1,400,0.68106,0.12947
6/4/4,6,4,4,800,0.68123,0.12887
3/2/2,3,2,2,400,0.68123,0.12887
4/2/2,4,2,2,800,0.68142,0.12914
5/3/2,5,3,2,600,0.68148,0.12871
4/3/3,4,3,3,400,0.68157,0.12813
4/3/1,4,3,1,400,0.68166,0.12954
4/3/2,4,3,2,400,0.68171,0.12897
3/3/4,3,3,4,600,0.68185,0.12807
4/2/1,4,2,1,600,0.68185,0.12924
3/5/1,3,5,1,400,0.68185,0.12864
5/2/2,5,2,2,800,0.68189,0.1294
5/3/1,5,3,1,600,0.68199,0.12904
6/5/1,6,5,1,600,0.682,0.12971
4/2/2,4,2,2,600,0.6824,0.12907
4/3/4,4,3,4,600,0.68251,0.12817
5/5/3,5,5,3,400,0.68256,0.12899
6/4/2,6,4,2,600,0.68256,0.12916
3/2/1,3,2,1,300,0.68256,0.12916
6/4/3,6,4,3,600,0.68257,0.1291
3/1/1,3,1,1,600,0.68279,0.12986
7/4/2,7,4,2,800,0.68285,0.12898
5/2/3,5,2,3,800,0.68308,0.12966
7/5/1,7,5,1,800,0.68313,0.12913
6/3/2,6,3,2,800,0.68319,0.12921
3/5/3,3,5,3,400,0.68331,0.12783
4/2/3,4,2,3,800,0.68337,0.12953
4/5/2,4,5,2,300,0.68355,0.12933
3/1/1,3,1,1,800,0.68361,0.13023
6/4/1,6,4,1,600,0.68362,0.12954
5/3/3,5,3,3,600,0.68364,0.12907
5/3/4,5,3,4,600,0.68365,0.12833
6/3/3,6,3,3,800,0.68367,0.12915
4/5/1,4,5,1,400,0.68382,0.13001
8/5/3,8,5,3,800,0.6839,0.12913
3/2/3,3,2,3,400,0.68391,0.12838
7/4/3,7,4,3,800,0.68397,0.12917
5/2/1,5,2,1,800,0.68425,0.12954
8/5/2,8,5,2,800,0.68428,0.12931
7/4/4,7,4,4,800,0.68448,0.12924
4/2/3,4,2,3,600,0.6846,0.12955
5/5/2,5,5,2,400,0.68464,0.13018
7/5/3,7,5,3,600,0.68476,0.12962
3/4/3,3,4,3,300,0.68477,0.12821
6/3/4,6,3,4,800,0.68483,0.1293
3/4/4,3,4,4,400,0.68489,0.12808
4/2/4,4,2,4,800,0.68495,0.12899
4/5/4,4,5,4,400,0.68502,0.12824
6/4/4,6,4,4,600,0.68504,0.12951
3/2/2,3,2,2,300,0.68504,0.12951
7/5/4,7,5,4,600,0.68508,0.12961
5/2/2,5,2,2,600,0.68515,0.12968
8/5/4,8,5,4,800,0.68515,0.1294
4/4/3,4,4,3,300,0.68518,0.12934
7/3/3,7,3,3,800,0.6852,0.12965
6/2/2,6,2,2,800,0.68526,0.12993
3/1/1,3,1,1,400,0.68526,0.12993
7/5/2,7,5,2,600,0.68533,0.12977
5/4/2,5,4,2,400,0.68545,0.13025
7/3/2,7,3,2,800,0.68551,0.12977
3/5/2,3,5,2,300,0.68553,0.12872
3/1/2,3,1,2,600,0.68557,0.13021
5/4/3,5,4,3,400,0.68571,0.13018
5/5/1,5,5,1,400,0.68574,0.13051
6/2/3,6,2,3,800,0.68585,0.13003
5/4/4,5,4,4,400,0.68591,0.12933
4/4/2,4,4,2,300,0.68593,0.1303
4/4/4,4,4,4,400,0.68595,0.12841
3/3/3,3,3,3,300,0.68595,0.12841
5/2/4,5,2,4,800,0.68598,0.13009
7/3/4,7,3,4,800,0.68601,0.12992
3/2/4,3,2,4,800,0.68606,0.12882
5/5/4,5,5,4,400,0.68606,0.12916
3/1/2,3,1,2,800,0.68609,0.13045
6/3/1,6,3,1,800,0.68609,0.12961
7/4/1,7,4,1,800,0.68609,0.12944
5/2/3,5,2,3,600,0.6862,0.12997
4/1/1,4,1,1,800,0.6864,0.13066
3/5/1,3,5,1,300,0.68662,0.12962
5/4/1,5,4,1,400,0.68667,0.13057
4/5/3,4,5,3,300,0.6867,0.12929
4/4/1,4,4,1,300,0.6868,0.13068
4/1/2,4,1,2,800,0.68682,0.13046
3/4/1,3,4,1,200,0.68685,0.13028
4/3/3,4,3,3,300,0.68697,0.12912
3/3/2,3,3,2,200,0.68721,0.12974
4/2/4,4,2,4,600,0.68725,0.12917
3/1/3,3,1,3,800,0.68725,0.12983
4/3/2,4,3,2,300,0.68726,0.13003
4/2/2,4,2,2,400,0.68746,0.12978
8/4/4,8,4,4,800,0.68746,0.12978
6/3/3,6,3,3,600,0.68746,0.12978
3/5/4,3,5,4,400,0.68764,0.12838
8/4/3,8,4,3,800,0.68769,0.12978
6/3/2,6,3,2,600,0.68778,0.1298
8/5/1,8,5,1,800,0.68782,0.12976
7/4/2,7,4,2,600,0.68804,0.12996
3/1/3,3,1,3,600,0.68805,0.12966
