weights_str,w0,w1,w2,mae_avg,mae_2019,mae_2020,mae_2021,mae_2022,mae_2023,mae_2024,mae_2025
4/3/1,4,3,1,0.06146,0.05716,0.06787,0.06207,0.06343,0.06472,0.06085,0.05412
5/2/2,5,2,2,0.06155,0.05709,0.06726,0.06216,0.06267,0.06432,0.0635,0.05384
5/3/1,5,3,1,0.06156,0.05765,0.06834,0.06174,0.06327,0.06471,0.06067,0.05451
5/3/2,5,3,2,0.06161,0.05643,0.06744,0.06203,0.06371,0.06423,0.06332,0.0541
5/4/1,5,4,1,0.06163,0.05714,0.0687,0.0615,0.06338,0.06471,0.06092,0.05503
4/2/1,4,2,1,0.06168,0.05779,0.06745,0.06241,0.06338,0.06468,0.06252,0.05355
4/2/2,4,2,2,0.06171,0.05715,0.06654,0.06239,0.06299,0.06585,0.06395,0.0531
7/3/3,7,3,3,0.06176,0.05695,0.06789,0.06196,0.06265,0.06414,0.06403,0.05473
6/2/2,6,2,2,0.06178,0.05731,0.06797,0.06217,0.06262,0.06447,0.06355,0.05435
3/2/1,3,2,1,0.06183,0.05794,0.06697,0.06289,0.06354,0.06483,0.06292,0.05369
6/3/2,6,3,2,0.06184,0.05724,0.06793,0.06168,0.06385,0.06433,0.0633,0.05457
6/4/2,6,4,2,0.06184,0.05667,0.06832,0.06158,0.06359,0.06425,0.06343,0.05506
6/4/1,6,4,1,0.06187,0.05785,0.06915,0.06139,0.06328,0.06483,0.06105,0.05551
6/2/3,6,2,3,0.06188,0.0568,0.06802,0.06249,0.06334,0.06416,0.06428,0.05407
4/1/2,4,1,2,0.06189,0.05717,0.06766,0.06317,0.06348,0.06455,0.06391,0.0533
5/2/1,5,2,1,0.06189,0.05772,0.06823,0.06365,0.06362,0.06484,0.06084,0.05436
5/1/2,5,1,2,0.06189,0.05718,0.06837,0.06285,0.06277,0.06464,0.06379,0.05364
6/5/1,6,5,1,0.0619,0.05725,0.0695,0.06116,0.06335,0.06478,0.06121,0.05601
6/3/3,6,3,3,0.06191,0.05674,0.06732,0.06201,0.06306,0.06547,0.06453,0.05428
5/3/3,5,3,3,0.06192,0.05647,0.06686,0.06229,0.06335,0.06554,0.0646,0.05432
7/5/1,7,5,1,0.06195,0.05801,0.06978,0.05976,0.06332,0.06491,0.06137,0.05649
5/5/1,5,5,1,0.06197,0.05796,0.06927,0.06122,0.06356,0.06481,0.06134,0.0556
8/4/3,8,4,3,0.06199,0.05724,0.06848,0.06165,0.06278,0.06431,0.06389,0.05559
3/1/1,3,1,1,0.06199,0.05874,0.06766,0.06315,0.06266,0.06493,0.06311,0.05367
7/4/3,7,4,3,0.06202,0.057,0.06805,0.06178,0.06256,0.06563,0.06398,0.05517
4/4/1,4,4,1,0.06203,0.05833,0.06844,0.06161,0.06362,0.06631,0.06112,0.0548
6/4/3,6,4,3,0.06204,0.05675,0.06771,0.06189,0.06275,0.06564,0.06457,0.05495
8/3/3,8,3,3,0.06205,0.05737,0.06837,0.06206,0.06286,0.0643,0.06409,0.05527
4/3/2,4,3,2,0.06205,0.05705,0.06714,0.06235,0.06411,0.06577,0.06403,0.05389
4/1/1,4,1,1,0.06205,0.05787,0.06862,0.06436,0.06226,0.06497,0.06271,0.05356
